UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.4976
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.6454
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	12.9748
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.7466
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.6847
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.2756
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.0905
UTI Banking & PSU Fund- Regular Plan - Growth Option	21.9898
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	115.1977
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	113.2787
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.7282
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.9045
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.0498
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.7064
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2139
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2884
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.1634
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3761
Axis Corporate Bond Fund - Direct Plan Growth	18.1546
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2108
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.2174
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.2548
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2306
Axis Corporate Bond Fund - Regular Plan Growth	17.1557
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.5506
BANDHAN Corporate Bond Fund - Direct Growth	19.8810
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.8492
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3549
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.1897
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.8808
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.5357
BANDHAN Corporate Bond Fund - Regular Growth	19.3083
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.2212
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6065
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.0164
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.9121
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.5094
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	31.9738
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.5217
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.6443
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.7499
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	29.3137
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6871
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.8543
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.4349
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	27.6251
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.5622
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.6650
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.3267
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.4223
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.7747
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.6122
DSP Corporate Bond Fund - Direct - Growth	16.2804
DSP Corporate Bond Fund - Direct - IDCW	11.5126
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.6094
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.5603
DSP Corporate Bond Fund - Regular - Growth	16.0023
DSP Corporate Bond Fund - Regular - IDCW	11.4838
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5848
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.897
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	108.1675
Franklin India Corporate Debt Fund - Growth	99.8966
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.0535
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.1462
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	15.1828
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.3245
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.7507
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.8906
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.4051
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.0796
HDFC Corporate Bond Fund - Growth Option	32.6701
HDFC Corporate Bond Fund - Growth Option - Direct Plan	33.3816
HDFC Corporate Bond Fund - IDCW Option	19.7775
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.4539
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.6727
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.5582
HSBC Corporate Bond Fund - Direct Annual IDCW	12.0136
HSBC Corporate Bond Fund - Direct Growth	78.1
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.6581
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.4016
HSBC Corporate Bond Fund - Regular Annual IDCW	11.756
HSBC Corporate Bond Fund - Regular Growth	73.322
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.246
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.0574
HSBC Corporate Bond Fund -Regular Plan - Bonus	27.8517
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	31.3361
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2487
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.6082
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	29.9171
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.4021
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
